function_count,parameter_count,variable_count,declaration_count,if_count,for_count,while_count,switch_count,return_count,call_count,argument_count,assignment_count,binary_expression_count,identifier_count,block_count,expression_count,literal_count,ast_nodes,leaf_nodes,internal_nodes,max_depth,leaf_ratio,internal_ratio,branch_density,call_density,identifier_density,expression_density,variable_density,statement_density,nesting_factor,cyclomatic_estimate,avg_parameters,LOC,language,task_id,task_idx,SSI
1,0,1,1,0,0,1,0,1,0,0,1,1,13,2,0,0,44,28,16,8,0.6363636363636364,0.3636363636363636,0.0227272727272727,0.0,0.2954545454545454,0.0,0.0227272727272727,0.0,0.1818181818181818,2,0.0,4,python,Python/13,13,-1.9362995859286163
1,0,1,1,0,1,0,0,1,3,3,1,1,17,2,0,1,74,46,28,10,0.6216216216216216,0.3783783783783784,0.0135135135135135,0.0405405405405405,0.2297297297297297,0.0,0.0135135135135135,0.0,0.1351351351351351,2,0.0,6,python,Python/14,14,-1.683658764352479
1,0,0,0,0,0,0,0,1,3,3,0,1,10,1,0,2,52,33,19,11,0.6346153846153846,0.3653846153846153,0.0,0.0576923076923076,0.1923076923076923,0.0,0.0,0.0,0.2115384615384615,1,0.0,2,python,Python/15,15,-2.5106391385361886
1,0,0,0,0,0,0,0,1,3,3,0,0,8,1,0,0,37,22,15,10,0.5945945945945946,0.4054054054054054,0.0,0.081081081081081,0.2162162162162162,0.0,0.0,0.0,0.2702702702702703,1,0.0,2,python,Python/16,16,-2.9294549444693634
1,0,1,1,0,0,0,0,1,1,1,1,0,14,1,0,7,88,58,30,9,0.6590909090909091,0.3409090909090909,0.0,0.0113636363636363,0.1590909090909091,0.0,0.0113636363636363,0.0,0.1022727272727272,1,0.0,4,python,Python/17,17,-1.9463120541960885
1,0,1,1,1,1,0,0,1,4,4,1,3,21,3,0,3,85,55,30,12,0.6470588235294118,0.3529411764705882,0.0235294117647058,0.0470588235294117,0.2470588235294117,0.0,0.0117647058823529,0.0,0.1411764705882353,3,0.0,6,python,Python/18,18,-1.1222939432816883
1,0,1,1,0,0,0,0,1,3,3,1,0,18,1,0,22,164,114,50,13,0.6951219512195121,0.3048780487804878,0.0,0.0182926829268292,0.1097560975609756,0.0,0.0060975609756097,0.0,0.0792682926829268,1,0.0,15,python,Python/19,19,-1.1079442154169898
1,0,7,7,3,2,0,0,1,8,8,7,2,46,7,0,3,177,114,63,20,0.6440677966101694,0.3559322033898305,0.0282485875706214,0.0451977401129943,0.2598870056497175,0.0,0.03954802259887,0.0,0.1129943502824858,6,0.0,16,python,Python/20,20,1.4732668813760883
1,0,2,2,0,0,0,0,1,2,2,2,3,20,1,0,0,80,50,30,8,0.625,0.375,0.0,0.025,0.25,0.0,0.025,0.0,0.1,1,0.0,5,python,Python/21,21,-1.8323012255602422
1,0,0,0,0,0,0,0,1,1,1,0,0,15,1,0,0,60,37,23,8,0.6166666666666667,0.3833333333333333,0.0,0.0166666666666666,0.25,0.0,0.0,0.0,0.1333333333333333,1,0.0,3,python,Python/22,22,-2.515623187862024
1,0,0,0,0,0,0,0,1,1,1,0,0,6,1,0,0,25,15,10,6,0.6,0.4,0.0,0.04,0.24,0.0,0.0,0.0,0.24,1,0.0,2,python,Python/23,23,-3.1576017709898734
1,0,0,0,1,1,0,0,1,2,2,0,1,11,3,0,1,48,30,18,8,0.625,0.375,0.0416666666666666,0.0416666666666666,0.2291666666666666,0.0,0.0,0.0,0.1666666666666666,3,0.0,4,python,Python/24,24,-1.769161976381345
1,0,2,2,2,0,1,0,1,4,4,2,2,28,5,0,5,120,75,45,10,0.625,0.375,0.025,0.0333333333333333,0.2333333333333333,0.0,0.0166666666666666,0.0,0.0833333333333333,4,0.0,14,python,Python/25,25,-0.33801051322334663
1,0,1,1,0,0,0,0,1,1,1,1,0,18,1,0,1,73,45,28,8,0.6164383561643836,0.3835616438356164,0.0,0.0136986301369863,0.2465753424657534,0.0,0.0136986301369863,0.0,0.1095890410958904,1,0.0,5,python,Python/26,26,-2.191794286587978
1,0,0,0,0,0,0,0,1,1,1,0,0,6,1,0,0,27,16,11,6,0.5925925925925926,0.4074074074074074,0.0,0.037037037037037,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,1,0.0,2,python,Python/27,27,-3.107283756780202
1,0,0,0,0,0,0,0,1,1,1,0,0,9,1,0,1,43,25,18,8,0.5813953488372093,0.4186046511627907,0.0,0.0232558139534883,0.2093023255813953,0.0,0.0,0.0,0.1860465116279069,1,0.0,3,python,Python/28,28,-2.8559175155963903
1,0,0,0,0,0,0,0,1,1,1,0,0,16,1,0,0,64,39,25,8,0.609375,0.390625,0.0,0.015625,0.25,0.0,0.0,0.0,0.125,1,0.0,3,python,Python/29,29,-2.484123324663624
1,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,1,31,20,11,7,0.6451612903225806,0.3548387096774194,0.0,0.0,0.2258064516129032,0.0,0.0,0.0,0.2258064516129032,1,0.0,2,python,Python/30,30,-3.0182536929474
1,0,0,0,2,1,0,0,3,1,1,0,2,8,4,0,7,55,36,19,8,0.6545454545454545,0.3454545454545454,0.0545454545454545,0.0181818181818181,0.1454545454545454,0.0,0.0,0.0,0.1454545454545454,4,0.0,7,python,Python/31,31,-1.1533199300383226
2,0,4,4,1,0,2,0,2,7,7,4,6,45,6,0,9,187,124,63,10,0.6631016042780749,0.3368983957219251,0.0160427807486631,0.0374331550802139,0.2406417112299465,0.0,0.0213903743315508,0.0,0.053475935828877,4,0.0,19,python,Python/32,32,1.0732912352142197
1,0,2,2,0,0,0,0,1,2,2,2,0,10,1,0,2,49,32,17,8,0.6530612244897959,0.3469387755102041,0.0,0.0408163265306122,0.2040816326530612,0.0,0.0408163265306122,0.0,0.1632653061224489,1,0.0,4,python,Python/33,33,-2.1288612291299494
1,0,0,0,0,0,0,0,1,3,3,0,0,7,1,0,0,32,19,13,10,0.59375,0.40625,0.0,0.09375,0.21875,0.0,0.0,0.0,0.3125,1,0.0,2,python,Python/34,34,-3.090833906783132
1,0,2,2,1,1,0,0,1,0,0,2,0,12,3,0,1,44,29,15,8,0.6590909090909091,0.3409090909090909,0.0454545454545454,0.0,0.2727272727272727,0.0,0.0454545454545454,0.0,0.1818181818181818,3,0.0,6,python,Python/35,35,-1.4845354682926137
1,0,3,3,1,2,0,0,1,5,5,3,2,24,4,0,7,114,75,39,10,0.6578947368421053,0.3421052631578947,0.0263157894736842,0.043859649122807,0.2105263157894736,0.0,0.0263157894736842,0.0,0.087719298245614,4,0.0,10,python,Python/36,36,-0.22971553869268266
1,0,3,3,1,1,0,0,1,6,6,3,0,27,3,0,4,118,79,39,9,0.6694915254237288,0.3305084745762712,0.0169491525423728,0.0508474576271186,0.2288135593220339,0.0,0.0254237288135593,0.0,0.0762711864406779,3,0.0,10,python,Python/37,37,-0.535999427671297
2,0,2,2,0,0,0,0,2,8,8,2,6,30,2,0,10,165,110,55,13,0.6666666666666666,0.3333333333333333,0.0,0.0484848484848484,0.1818181818181818,0.0,0.0121212121212121,0.0,0.0787878787878787,1,0.0,11,python,Python/38,38,-0.4872460183594377
2,0,1,1,4,1,1,0,4,6,6,1,4,27,8,0,17,170,111,59,15,0.6529411764705882,0.3470588235294117,0.0352941176470588,0.0352941176470588,0.1588235294117647,0.0,0.0058823529411764,0.0,0.088235294117647,7,0.0,16,python,Python/39,39,1.2099161700071552
1,0,0,0,1,3,0,0,2,6,6,0,4,23,5,0,5,107,71,36,14,0.6635514018691588,0.3364485981308411,0.0373831775700934,0.0560747663551401,0.2149532710280373,0.0,0.0,0.0,0.1308411214953271,5,0.0,7,python,Python/40,40,-0.20783894784230983
1,0,0,0,0,0,0,0,1,0,0,0,1,4,1,0,1,20,12,8,5,0.6,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.25,1,0.0,2,python,Python/41,41,-3.3218252514993267
1,0,0,0,0,0,0,0,1,0,0,0,1,6,1,0,1,31,20,11,7,0.6451612903225806,0.3548387096774194,0.0,0.0,0.1935483870967742,0.0,0.0,0.0,0.2258064516129032,1,0.0,2,python,Python/42,42,-3.0032234086836835
1,0,0,0,1,2,0,0,2,3,3,0,2,14,4,0,4,68,45,23,11,0.6617647058823529,0.3382352941176471,0.0441176470588235,0.0441176470588235,0.2058823529411764,0.0,0.0,0.0,0.1617647058823529,4,0.0,6,python,Python/43,43,-1.0153706157970066
1,0,2,2,0,0,1,0,1,1,1,2,2,15,2,0,2,56,36,20,10,0.6428571428571429,0.3571428571428571,0.0178571428571428,0.0178571428571428,0.2678571428571428,0.0,0.0357142857142857,0.0,0.1785714285714285,2,0.0,6,python,Python/44,44,-1.543017008833107
1,0,0,0,0,0,0,0,1,0,0,0,2,5,1,0,1,21,14,7,6,0.6666666666666666,0.3333333333333333,0.0,0.0,0.238095238095238,0.0,0.0,0.0,0.2857142857142857,1,0.0,2,python,Python/45,45,-3.227877220312926
1,0,1,1,1,1,0,0,2,3,3,1,4,19,3,0,13,119,81,38,12,0.680672268907563,0.3193277310924369,0.0168067226890756,0.0252100840336134,0.1596638655462184,0.0,0.0084033613445378,0.0,0.1008403361344537,3,0.0,8,python,Python/46,46,-0.7347888901441955
1,0,1,1,1,0,0,0,2,5,5,1,7,17,3,0,7,97,62,35,15,0.6391752577319587,0.3608247422680412,0.0103092783505154,0.0515463917525773,0.1752577319587628,0.0,0.0103092783505154,0.0,0.1546391752577319,2,0.0,6,python,Python/47,47,-1.1233879079566254
1,0,0,0,1,1,0,0,2,3,3,0,2,13,3,0,3,64,41,23,12,0.640625,0.359375,0.03125,0.046875,0.203125,0.0,0.0,0.0,0.1875,3,0.0,5,python,Python/48,48,-1.5066132401965793
1,0,2,2,0,1,0,0,1,1,1,2,2,13,2,0,2,52,34,18,9,0.6538461538461539,0.3461538461538461,0.0192307692307692,0.0192307692307692,0.25,0.0,0.0384615384615384,0.0,0.173076923076923,2,0.0,5,python,Python/49,49,-1.710582933099439
2,0,0,0,0,0,0,0,2,10,10,0,8,22,2,0,11,161,103,58,17,0.639751552795031,0.3602484472049689,0.0,0.062111801242236,0.1366459627329192,0.0,0.0,0.0,0.1055900621118012,1,0.0,7,python,Python/50,50,-0.6750938008288387
1,0,0,0,0,0,0,0,1,2,2,0,0,8,1,0,6,72,49,23,11,0.6805555555555556,0.3194444444444444,0.0,0.0277777777777777,0.1111111111111111,0.0,0.0,0.0,0.1527777777777778,1,0.0,2,python,Python/51,51,-2.198190675433504
1,0,0,0,1,1,0,0,2,0,0,0,0,9,3,0,2,41,26,15,8,0.6341463414634146,0.3658536585365853,0.048780487804878,0.0,0.2195121951219512,0.0,0.0,0.0,0.1951219512195122,3,0.0,5,python,Python/52,52,-1.8973097448765284
1,0,0,0,0,0,0,0,1,0,0,0,1,7,1,0,0,26,16,10,5,0.6153846153846154,0.3846153846153846,0.0,0.0,0.2692307692307692,0.0,0.0,0.0,0.1923076923076923,1,0.0,2,python,Python/53,53,-3.052886452089305
1,0,0,0,0,0,0,0,1,2,2,0,0,9,1,0,0,36,22,14,7,0.6111111111111112,0.3888888888888889,0.0,0.0555555555555555,0.25,0.0,0.0,0.0,0.1944444444444444,1,0.0,2,python,Python/54,54,-2.811503325188509
1,0,0,0,2,0,0,0,3,2,2,0,3,9,3,0,6,58,36,22,8,0.6206896551724138,0.3793103448275862,0.0344827586206896,0.0344827586206896,0.1551724137931034,0.0,0.0,0.0,0.1379310344827586,3,0.0,6,python,Python/55,55,-1.5407024461806136
1,0,1,1,2,1,0,0,2,0,0,1,0,11,5,0,7,65,42,23,9,0.6461538461538462,0.3538461538461538,0.0461538461538461,0.0,0.1692307692307692,0.0,0.0153846153846153,0.0,0.1384615384615384,4,0.0,10,python,Python/56,56,-1.086945422189138
1,0,0,0,1,0,0,0,2,2,2,0,0,10,2,0,3,49,31,18,9,0.6326530612244898,0.3673469387755102,0.0204081632653061,0.0408163265306122,0.2040816326530612,0.0,0.0,0.0,0.1836734693877551,2,0.0,4,python,Python/57,57,-2.137701380648721
1,0,1,1,1,2,0,0,1,4,4,1,0,19,4,0,0,72,46,26,11,0.6388888888888888,0.3611111111111111,0.0416666666666666,0.0555555555555555,0.2638888888888889,0.0,0.0138888888888888,0.0,0.1527777777777778,4,0.0,7,python,Python/58,58,-0.945926789524308
2,0,2,2,3,2,0,0,4,4,4,2,4,24,7,0,11,122,81,41,10,0.6639344262295082,0.3360655737704918,0.040983606557377,0.0327868852459016,0.1967213114754098,0.0,0.0163934426229508,0.0,0.081967213114754,6,0.0,13,python,Python/59,59,0.5733771939143115
1,0,0,0,0,0,0,0,1,2,2,0,1,6,1,0,1,30,18,12,9,0.6,0.4,0.0,0.0666666666666666,0.2,0.0,0.0,0.0,0.3,1,0.0,2,python,Python/60,60,-3.1282929812006537
1,0,1,1,2,1,0,0,2,0,0,1,0,11,5,0,7,65,42,23,9,0.6461538461538462,0.3538461538461538,0.0461538461538461,0.0,0.1692307692307692,0.0,0.0153846153846153,0.0,0.1384615384615384,4,0.0,10,python,Python/61,61,-1.086945422189138
1,0,0,0,0,0,0,0,1,1,1,0,1,9,1,0,1,45,29,16,9,0.6444444444444445,0.3555555555555555,0.0,0.0222222222222222,0.2,0.0,0.0,0.0,0.2,1,0.0,2,python,Python/62,62,-2.6979357921342464
1,0,0,0,3,0,0,0,4,3,3,0,5,12,4,0,9,80,50,30,9,0.625,0.375,0.0375,0.0375,0.15,0.0,0.0,0.0,0.1125,4,0.0,8,python,Python/63,63,-0.8957701330219997
1,0,3,3,1,0,0,0,1,1,0,3,0,14,2,0,7,80,54,26,8,0.675,0.325,0.0125,0.0125,0.175,0.0,0.0375,0.0,0.1,2,0.0,9,python,Python/64,64,-1.3528317044234353
1,0,1,1,1,0,0,0,2,4,4,1,3,18,3,0,1,84,54,30,13,0.6428571428571429,0.3571428571428571,0.0119047619047619,0.0476190476190476,0.2142857142857142,0.0,0.0119047619047619,0.0,0.1547619047619047,2,0.0,6,python,Python/65,65,-1.4155560107498064
1,0,0,0,1,0,0,0,2,3,2,0,0,10,2,0,3,53,34,19,9,0.6415094339622641,0.3584905660377358,0.0188679245283018,0.0566037735849056,0.1886792452830188,0.0,0.0,0.0,0.1698113207547169,2,0.0,3,python,Python/66,66,-2.02662347085725
1,0,1,1,1,1,0,0,1,6,6,1,1,17,3,0,1,75,48,27,11,0.64,0.36,0.0266666666666666,0.08,0.2266666666666666,0.0,0.0133333333333333,0.0,0.1466666666666666,3,0.0,6,python,Python/67,67,-1.159041730398275
1,0,1,1,2,0,0,0,3,6,6,1,1,17,3,0,3,102,65,37,11,0.6372549019607843,0.3627450980392157,0.0196078431372549,0.0588235294117647,0.1666666666666666,0.0,0.0098039215686274,0.0,0.1078431372549019,3,0.0,5,python,Python/68,68,-0.9271431305260557
1,0,3,3,1,2,0,0,1,3,3,3,2,20,4,0,5,91,62,29,9,0.6813186813186813,0.3186813186813186,0.0329670329670329,0.0329670329670329,0.2197802197802197,0.0,0.0329670329670329,0.0,0.0989010989010989,4,0.0,9,python,Python/69,69,-0.4026352293228858
1,0,2,2,0,0,1,0,1,4,4,2,0,18,2,0,2,75,49,26,10,0.6533333333333333,0.3466666666666667,0.0133333333333333,0.0533333333333333,0.24,0.0,0.0266666666666666,0.0,0.1333333333333333,2,0.0,7,python,Python/70,70,-1.2119496840315633
1,0,3,3,1,0,0,0,2,1,1,3,13,29,2,0,4,115,78,37,11,0.6782608695652174,0.3217391304347826,0.008695652173913,0.008695652173913,0.2521739130434782,0.0,0.0260869565217391,0.0,0.0956521739130434,2,0.0,7,python,Python/71,71,-0.7529522348749942
1,0,1,1,2,0,1,0,3,2,2,1,1,18,4,0,7,84,56,28,8,0.6666666666666666,0.3333333333333333,0.0357142857142857,0.0238095238095238,0.2142857142857142,0.0,0.0119047619047619,0.0,0.0952380952380952,4,0.0,10,python,Python/72,72,-0.5934636487318369
1,0,1,1,1,1,0,0,1,3,3,1,3,15,3,0,4,68,45,23,12,0.6617647058823529,0.3382352941176471,0.0294117647058823,0.0441176470588235,0.2205882352941176,0.0,0.0147058823529411,0.0,0.1764705882352941,3,0.0,6,python,Python/73,73,-1.2824878925216445
1,0,2,2,1,2,0,0,2,2,2,2,0,19,5,0,2,70,47,23,8,0.6714285714285714,0.3285714285714285,0.0428571428571428,0.0285714285714285,0.2714285714285714,0.0,0.0285714285714285,0.0,0.1142857142857142,4,0.0,11,python,Python/74,74,-0.6540317563283015
2,0,0,0,5,4,0,0,4,7,7,0,3,25,11,0,12,154,100,54,13,0.6493506493506493,0.3506493506493506,0.0584415584415584,0.0454545454545454,0.1623376623376623,0.0,0.0,0.0,0.0844155844155844,10,0.0,14,python,Python/75,75,1.6319048102331861
1,0,2,2,1,0,1,0,2,0,0,2,1,13,3,0,3,63,42,21,8,0.6666666666666666,0.3333333333333333,0.0317460317460317,0.0,0.2063492063492063,0.0,0.0317460317460317,0.0,0.1269841269841269,3,0.0,7,python,Python/76,76,-1.0757188153198407
1,0,1,1,0,0,0,0,1,3,3,1,3,9,1,0,3,47,30,17,13,0.6382978723404256,0.3617021276595745,0.0,0.0638297872340425,0.1914893617021276,0.0,0.0212765957446808,0.0,0.2765957446808511,1,0.0,3,python,Python/77,77,-2.4243107270176427
1,0,2,2,1,1,0,0,1,2,2,2,0,13,3,0,9,87,62,25,8,0.7126436781609196,0.2873563218390804,0.0229885057471264,0.0229885057471264,0.1494252873563218,0.0,0.0229885057471264,0.0,0.0919540229885057,3,0.0,7,python,Python/78,78,-0.9533235437297549
1,0,0,0,0,0,0,0,1,1,1,0,2,4,1,0,3,36,23,13,9,0.6388888888888888,0.3611111111111111,0.0,0.0277777777777777,0.1111111111111111,0.0,0.0,0.0,0.25,1,0.0,2,python,Python/79,79,-2.8981334671818675
1,0,0,0,2,1,0,0,3,3,3,0,5,20,4,0,9,108,72,36,11,0.6666666666666666,0.3333333333333333,0.0277777777777777,0.0277777777777777,0.1851851851851851,0.0,0.0,0.0,0.1018518518518518,4,0.0,7,python,Python/80,80,-0.6562326958256968
1,0,1,1,1,1,0,0,1,13,13,1,0,44,15,0,25,282,183,99,11,0.648936170212766,0.351063829787234,0.0070921985815602,0.0460992907801418,0.1560283687943262,0.0,0.0035460992907801,0.0,0.0390070921985815,3,0.0,30,python,Python/81,81,0.9654267432399679
1,0,1,1,2,1,0,0,3,2,2,1,1,12,4,0,7,67,44,23,8,0.6567164179104478,0.3432835820895522,0.044776119402985,0.0298507462686567,0.1791044776119403,0.0,0.0149253731343283,0.0,0.1194029850746268,4,0.0,8,python,Python/82,82,-0.8657478288583372
1,0,0,0,1,0,0,0,2,0,0,0,3,4,2,0,5,39,25,14,9,0.6410256410256411,0.358974358974359,0.0256410256410256,0.0,0.1025641025641025,0.0,0.0,0.0,0.2307692307692307,2,0.0,3,python,Python/83,83,-2.3618239715597227
1,0,0,0,0,0,0,0,1,4,3,0,0,9,1,0,1,44,28,16,12,0.6363636363636364,0.3636363636363636,0.0,0.0909090909090909,0.2045454545454545,0.0,0.0,0.0,0.2727272727272727,1,0.0,2,python,Python/84,84,-2.6887092240085066
1,0,0,0,0,0,0,0,1,3,3,0,1,11,1,0,4,57,39,18,12,0.6842105263157895,0.3157894736842105,0.0,0.0526315789473684,0.1929824561403508,0.0,0.0,0.0,0.2105263157894736,1,0.0,2,python,Python/85,85,-2.317060555459923
1,0,0,0,0,0,0,0,1,5,5,0,0,10,1,0,3,63,40,23,13,0.6349206349206349,0.365079365079365,0.0,0.0793650793650793,0.1587301587301587,0.0,0.0,0.0,0.2063492063492063,1,0.0,2,python,Python/86,86,-2.2704429929138246
1,0,1,1,0,0,0,0,1,6,6,1,0,29,1,0,3,118,82,36,11,0.6949152542372882,0.3050847457627119,0.0,0.0508474576271186,0.2457627118644068,0.0,0.0084745762711864,0.0,0.0932203389830508,1,0.0,3,python,Python/87,87,-1.363807244094294
1,0,0,0,0,0,0,0,1,2,2,0,2,9,1,0,5,60,40,20,14,0.6666666666666666,0.3333333333333333,0.0,0.0333333333333333,0.15,0.0,0.0,0.0,0.2333333333333333,1,0.0,2,python,Python/88,88,-2.3942759794352235
1,0,2,2,1,1,0,0,1,1,1,2,3,16,4,0,5,77,51,26,14,0.6623376623376623,0.3376623376623376,0.0259740259740259,0.0129870129870129,0.2077922077922078,0.0,0.0259740259740259,0.0,0.1818181818181818,3,0.0,9,python,Python/89,89,-1.1171401553484468
1,0,1,1,0,0,0,0,1,3,3,1,0,9,1,0,3,44,29,15,8,0.6590909090909091,0.3409090909090909,0.0,0.0681818181818181,0.2045454545454545,0.0,0.0227272727272727,0.0,0.1818181818181818,1,0.0,3,python,Python/90,90,-2.299670058518976
1,0,1,1,0,0,0,0,1,2,1,1,0,11,1,0,4,57,38,19,9,0.6666666666666666,0.3333333333333333,0.0,0.0350877192982456,0.1929824561403508,0.0,0.0175438596491228,0.0,0.1578947368421052,1,0.0,4,python,Python/91,91,-2.211823062994501
1,0,0,0,2,0,0,0,3,3,3,0,3,22,3,0,3,93,63,30,11,0.6774193548387096,0.3225806451612903,0.021505376344086,0.032258064516129,0.2365591397849462,0.0,0.0,0.0,0.1182795698924731,3,0.0,6,python,Python/92,92,-1.1425659079237904
1,0,3,3,0,0,0,0,1,5,5,3,1,22,1,0,3,96,65,31,13,0.6770833333333334,0.3229166666666667,0.0,0.0520833333333333,0.2291666666666666,0.0,0.03125,0.0,0.1354166666666666,1,0.0,5,python,Python/93,93,-1.2766337372642569
2,0,4,4,2,1,1,0,3,7,6,4,3,33,6,0,9,148,99,49,12,0.668918918918919,0.3310810810810811,0.027027027027027,0.0472972972972973,0.2229729729729729,0.0,0.027027027027027,0.0,0.081081081081081,5,0.0,14,python,Python/94,94,0.9610418511471887
1,0,5,5,4,1,0,0,2,8,8,5,0,29,11,0,13,220,138,82,16,0.6272727272727273,0.3727272727272727,0.0227272727272727,0.0363636363636363,0.1318181818181818,0.0,0.0227272727272727,0.0,0.0727272727272727,6,0.0,22,python,Python/95,95,1.3726164759510517
1,0,3,3,2,2,0,0,1,3,3,3,1,18,5,0,5,82,55,27,10,0.6707317073170732,0.3292682926829268,0.048780487804878,0.0365853658536585,0.2195121951219512,0.0,0.0365853658536585,0.0,0.1219512195121951,5,0.0,11,python,Python/96,96,-0.18710284386839454
1,0,0,0,0,0,0,0,1,2,2,0,3,7,1,0,2,34,22,12,8,0.6470588235294118,0.3529411764705882,0.0,0.0588235294117647,0.2058823529411764,0.0,0.0,0.0,0.2352941176470588,1,0.0,2,python,Python/97,97,-2.765639566086168
1,0,1,1,1,1,0,0,1,2,2,1,0,11,3,0,5,57,39,18,8,0.6842105263157895,0.3157894736842105,0.0350877192982456,0.0350877192982456,0.1929824561403508,0.0,0.0175438596491228,0.0,0.1403508771929824,3,0.0,6,python,Python/98,98,-1.3696260219569245
1,0,6,6,3,0,1,0,1,7,7,6,0,29,8,0,10,168,107,61,11,0.6369047619047619,0.3630952380952381,0.0238095238095238,0.0416666666666666,0.1726190476190476,0.0,0.0357142857142857,0.0,0.0654761904761904,5,0.0,17,python,Python/99,99,0.9624278580313445
1,0,0,0,0,0,0,0,1,1,1,0,2,7,1,0,1,32,21,11,8,0.65625,0.34375,0.0,0.03125,0.21875,0.0,0.0,0.0,0.25,1,0.0,2,python,Python/100,100,-2.913750351642943
1,0,2,2,2,1,0,0,2,4,4,2,0,17,5,0,3,95,60,35,10,0.631578947368421,0.3684210526315789,0.031578947368421,0.0421052631578947,0.1789473684210526,0.0,0.0210526315789473,0.0,0.1052631578947368,4,0.0,11,python,Python/101,101,-0.6269035679833382
1,0,0,0,3,0,0,0,4,0,0,0,2,10,4,0,5,58,37,21,7,0.6379310344827587,0.3620689655172414,0.0517241379310344,0.0,0.1724137931034483,0.0,0.0,0.0,0.1206896551724138,4,0.0,8,python,Python/102,102,-1.222981276126101
1,0,1,1,1,1,0,0,2,3,3,1,4,17,3,0,4,75,50,25,12,0.6666666666666666,0.3333333333333333,0.0266666666666666,0.04,0.2266666666666666,0.0,0.0133333333333333,0.0,0.16,3,0.0,7,python,Python/103,103,-1.1165127653880358
