language,repository_name,func_name,LOC,Cyclomatic_Complexity
java,facebookarchive/hadoop-20,FairSchedulerServlet.showAdminFormPreemption,7,4
java,Red5/red5-io,FLVWriter.writeStream,10,2
java,pravega/pravega,TransactionMetrics.createTransaction,5,1
java,stagemonitor/stagemonitor,ConfigurationRegistry.getString,13,5
java,blinkfox/zealot,ZealotKhala.doIsNull,10,3
java,aws/aws-sdk-java,DescribeTrustedAdvisorChecksResult.withChecks,9,3
java,HanSolo/Medusa,Gauge.calcAutoScale,14,1
java,lessthanoptimal/BoofCV,CalibrationDetectorCircleHexagonalGrid.createLayout,15,3
java,zaproxy/zaproxy,AlertParam.parse,6,1
java,google/j2objc,DOM3TreeWalker.initProperties,91,22
java,jOOQ/jOOL,Sneaky.binaryOperator,3,1
java,OpenTSDB/opentsdb,Tree.storeTree,54,12
java,opensourceBIM/BIMserver,Ifc2x3tc1PackageImpl.getIfcElectricHeaterTypeEnum,7,2
java,recommenders/rival,DataModel.getUserItemPreference,7,3
java,eclipse/xtext-extras,JvmTypeConstraintImplCustom.isLikelyAValidConstraintBound,14,6
java,kaichunlin/android-transition,ViewTransitionBuilder.transitViewGroup,13,2
java,opensourceBIM/BIMserver,Ifc2x3tc1PackageImpl.getIfcAxis2Placement2D,7,2
java,VoltDB/voltdb,Constraints.constrainedSet,3,2
java,camunda/camunda-bpm-platform,ProcessEngineConfigurationImpl.initJobExecutor,49,8
java,yan74/afplib,MGORGImpl.eUnset,12,3
java,eclipse/xtext-extras,JvmStringAnnotationValueImpl.getValues,8,2
java,knightliao/disconf,ReloadablePropertiesBase.setProperties,7,1
java,Azure/azure-sdk-for-java,WebSiteManagementClientImpl.listPremierAddOnOffersNextSinglePageAsync,18,3
java,apache/incubator-druid,FixedBucketsHistogram.writeByteBufferCommonFields,13,1
java,op4j/op4j,Op.on,3,1
java,katjahahn/PortEx,PELoader.reloadCOFFFileHeader,20,1
java,google/j2objc,NodeVector.push,22,3
java,jenkinsci/jenkins,ItemListener.fireLocationChange,40,6
java,tvesalainen/util,SimpleWorkflow.join,16,3
java,jnr/jnr-x86asm,TrampolineWriter.writeTrampoline,10,1
java,stephanrauh/AngularFaces,NGBeanAttributeInfo.readJSR303Annotations,38,26
java,rapidoid/rapidoid,Form.add,10,3
java,google/closure-compiler,PolymerPassStaticUtils.extractProperties,36,9
java,TheHortonMachine/hortonmachine,UCSReader.readUCS2,37,8
java,alkacon/opencms-core,CmsElementView.hasPermission,21,5
java,facebookarchive/hadoop-20,ServerView.createContextMenu,15,2
java,MariaDB/mariadb-connector-j,Utils.copyRange,7,2
java,aws/aws-sdk-java,PutBackupVaultNotificationsRequestMarshaller.marshall,12,3
java,alkacon/opencms-core,CmsMessageBundleEditorModel.getKeyItemMap,9,2
java,strator-dev/greenpepper,NameUtils.humanize,19,4
java,alkacon/opencms-core,CmsContainerpageService.isModelPage,9,3
java,jbake-org/jbake,BakeWatcher.start,17,3
java,google/closure-compiler,JSModule.addDependency,5,1
java,finmath/finmath-lib,ModelFactory.getHybridAssetLIBORModel,60,7
java,codeprimate-software/cp-elements,ElementsExceptionsFactory.newServiceInvocationException,3,1
java,avianey/facebook-api-android-maven,Request.executeGraphPathRequestAsync,4,1
java,Bandwidth/java-bandwidth,BandwidthClient.validateCredentials,14,4
java,Impetus/Kundera,ThriftClientFactory.getConnection,27,5
java,lucee/Lucee,Operator.compare,20,8
java,ModeShape/modeshape,OracleDdlParser.parseCreateProcedureStatement,44,5
java,apache/incubator-shardingsphere,ExtractorUtils.getAllDescendantNodes,10,3
java,derari/cthul,Boxing.boxLongs,3,1
java,spring-projects/spring-shell,TableBuilder.addInnerBorder,4,1
java,aws/aws-sdk-java,WarningMarshaller.marshall,11,3
java,gsi-upm/Shanks,ComplexScenario.addScenario,50,15
java,j-a-w-r/jawr-main-repo,JSMin.jsmin,60,27
java,schallee/alib4j,PkgRes.getPackageName,6,2
java,Azure/azure-sdk-for-java,FileServersInner.listByResourceGroupNextAsync,9,1
java,anotheria/moskito,BuiltinErrorCatcher.trimList,8,2
java,atomix/atomix,AbstractBuffer.calculateCapacity,7,2
java,cdk/cdk,CDKToBeam.addExtendedTetrahedralConfiguration,9,2
java,OpenLiberty/open-liberty,MessageProcessor.discardMsgsAfterQueueDeletion,9,3
java,Azure/azure-sdk-for-java,FileGetPropertiesFromTaskOptions.withIfModifiedSince,8,2
java,tango-controls/JTango,PollThread.time_diff,9,1
java,aoindustries/aocode-public,StringUtility.indexOf,9,4
java,real-logic/simple-binary-encoding,JavaUtil.formatPropertyName,16,3
java,jboss/jboss-jstl-api_spec,JstlBaseTLV.validate,48,9
java,spotbugs/spotbugs,UselessSubclassMethod.differentAttributes,18,5
java,ist-dresden/composum,ComponentTag.getReplacedAttributes,9,3
java,petergeneric/stdlib,MediaInfoTrack.getOtherTrackType,12,2
java,phax/ph-bdve,EN16931Validation.initEN16931,110,1
java,bushidowallet/bushido-java-service,V2WalletServiceImpl.getTransactionsKeys,13,3
java,wisdom-framework/wisdom-jcr,RepositoryManagerImpl.getSession,12,3
java,MKLab-ITI/multimedia-indexing,ImageIOGreyScale.getImageWritersByMIMEType,13,3
java,apache/groovy,GroovyMBean.describeAttribute,15,3
java,artikcloud/artikcloud-java,WhitelistingApi.deleteVdid,4,1
java,netscaler/nitro,shutdown.Shutdown,4,1
java,duracloud/snapshot,SnapshotHistory.compare,4,1
java,kmi/iserve,ServiceManagerIndexRdf.listInputs,7,2
java,jbundle/jbundle,ReferenceField.setupIconView,37,15
java,openbaton/openbaton-client,NFVORequestor.getNetworkServiceDescriptorAgent,26,3
java,OpenLiberty/open-liberty,RepositoryReaderImpl.containsLogFiles,47,12
java,Samsung/GearVRf,AiMesh.allocateDataChannel,45,8
java,aws/aws-sdk-java,GetDeviceDefinitionVersionRequestMarshaller.marshall,12,3
java,liferay/com-liferay-commerce,CPAttachmentFileEntryPersistenceImpl.fetchByC_C_T_NotST_Last,15,3
java,michael-rapp/AndroidMaterialDialog,ListDialogDecorator.getCheckedItems,12,4
java,Trilarion/java-vorbis-support,CodeBook.decode,26,7
java,mapbox/mapbox-events-android,LocationEngineResult.create,6,1
java,Azure/azure-sdk-for-java,VaultsInner.listNextAsync,9,1
java,gallandarakhneorg/afc,XMLUtil.readXMLFragment,3,1
java,timewalker74/ffmq,FFMQQueueConnectionFactory.createQueueConnection,20,6
java,morimekta/utils,SubCommandSet.printUsage,3,1
java,OpenLiberty/open-liberty,JmsMsgConsumerImpl.emergencyClose,21,7
java,google/j2objc,Buffer.writableSegment,12,6
java,h2oai/h2o-3,ModelUtils.sampleOOBRows,12,4
java,BranchMetrics/android-branch-deep-linking,BranchLinkData.putStage,6,2
java,exoplatform/jcr,FSDirectoryManager.hasDirectory,10,1
java,yonik/noggit,JSONParser.readEscapedChar,24,13
java,PureSolTechnologies/parsers,PackratMemo.setMemo,13,3
java,google/error-prone-javac,WorkArounds.getLocationForModule,6,2
java,groovy/gmaven,FailClosureTarget.call,25,9
java,JOML-CI/JOML,Vector3i.negate,6,1
java,kite-sdk/kite,HBaseUtils.addColumnsToGet,12,1
java,couchbase/couchbase-lite-java,MutableDocument.setArray,5,1
java,xwiki/xwiki-rendering,QueueListener.beginDefinitionList,5,1
java,Alluxio/alluxio,UfsJournalFile.decodeLogFile,20,5
java,liferay/com-liferay-commerce,CommerceDiscountRelPersistenceImpl.findByCommerceDiscountId,7,1
java,ontop/ontop,OneShotSQLGeneratorEngine.getConditionsSharedVariables,25,6
java,twotoasters/JazzyListView,JazzyRecyclerViewScrollListener.notifyAdditionalOnScrollStateChangedListener,5,2
java,future-architect/uroborosql,AbstractSqlFluent.paramMap,8,3
java,michael-rapp/AndroidPreferenceActivity,PreferenceActivity.removePreferenceFragmentListener,5,1
java,BioPAX/Paxtools,SelfOrThis.generate,7,1
java,DDTH/ddth-redis,JedisRedisClient.setMembersAsBinary,5,2
java,DataSketches/sketches-core,DoubleSummary.fromMemory,4,1
java,facebookarchive/hadoop-20,BlockReaderLocalInlineChecksum.read,145,28
java,jboss/jboss-jsf-api_spec,UIInput.setValidator,26,9
java,kiswanij/jk-util,JKObjectUtil.toXml,13,1
java,peter-lawrey/SAXophone,JsonParser.finish,15,9
java,eclipse/xtext-core,MergeableManifest2.addExportedPackages,14,4
java,aws/aws-sdk-java,AmazonCloudSearchClient.describeSuggesters,5,1
java,JM-Lab/utils-java8,StatsMap.changeIntoStatsMap,5,1
java,BBN-E/bue-common-open,Parameters.getOptionalFileAsStringSet,9,2
java,jboss/jboss-jsf-api_spec,CurrentThreadToServletContext.detectSpecialInitializationCase,10,3
java,jboss-integration/fuse-bxms-integ,PropertiesBuilder.builder,7,2
java,streamsets/datacollector-api,BaseStage.init,11,3
java,BranchMetrics/android-branch-deep-linking,ServerRequestQueue.setInstallOrOpenCallback,13,6
java,ppiastucki/recast4j,PathCorridor.optimizePathTopology,14,4
java,ZenHarbinger/l2fprod-properties-editor,PropertySheetTable.getCellRenderer,24,6
java,facebookarchive/hadoop-20,RaidShell.distRaid,101,22
java,facebookarchive/hadoop-20,JobInitializationPoller.printJobs,7,2
java,ysc/word,Bigram.getScore,10,3
java,sd4324530/fastweixin,WeixinControllerSupport.process,11,2
java,fhoeben/hsac-fitnesse-fixtures,HtmlFixture.html,4,1
java,alibaba/otter,DataMatrixServiceImpl.modify,22,4
java,google/error-prone-javac,JavacParser.argumentsOpt,8,4
java,exoplatform/jcr,AbstractValueData.readFromByteArray,7,1
java,carewebframework/carewebframework-vista,DocumentListRenderer.renderItem,11,1
java,groovy/groovy-core,ManagedConcurrentValueMap.put,10,1
java,lucee/Lucee,Ftp.actionExistsDir,10,1
java,kazocsaba/matrix,ImmutableMatrixFactory.createVector,15,3
java,googleapis/google-cloud-java,BackendServiceClient.addSignedUrlKeyBackendService,10,2
java,googleapis/google-cloud-java,ForwardingRuleClient.insertForwardingRule,10,1
java,OpenLiberty/open-liberty,FeatureWebSecurityConfigImpl.getWASReqURLRedirectDomainNames,8,2
java,Omertron/api-fanarttv,ArtworkList.getArtwork,7,2
java,jbundle/jbundle,PropertiesConverter.setString,6,3
java,amzn/ion-java,Timestamp.forDateZ,6,2
java,UrielCh/ovh-java-sdk,ApiOvhVps.serviceName_automatedBackup_restore_POST,10,1
java,linkhub-sdk/popbill.sdk.java,TaxinvoiceServiceImp.Search,7,1
java,eclipse/xtext-extras,RuleCallImpl.getArguments,8,2
java,sarl/sarl,StandardContextSpaceService.removeDefaultSpaceDefinition,9,2
java,sai-pullabhotla/catatumbo,DefaultDatastoreReader.executeKeyQueryRequest,28,3
java,albfernandez/itext2,Cell.setWidth,7,2
java,kiegroup/droolsjbpm-integration,FastCloner.copyPropertiesOfInheritedClass,34,12
java,goldmansachs/reladomo,SimulatedSequencePrimaryKeyGenerator.getMax,17,4
java,alkacon/opencms-core,CmsHtmlWidget.getJSONConfiguration,3,1
java,VoltDB/voltdb,MpTerm.start,13,3
java,aws/aws-sdk-java,JobFlowInstancesDetailMarshaller.marshall,22,3
java,jenkinsci/jenkins,Util.isOverridden,3,1
java,apache/reef,ClientConnection.sendMessage,7,1
java,deeplearning4j/deeplearning4j,SDBaseOps.oneHot,3,1
java,matomo-org/piwik-java-tracker,PiwikRequest.setAuthToken,6,3
java,astrapi69/jaulp-wicket,CaptchaPanel.newImage,4,1
java,lessthanoptimal/BoofCV,FactoryDetectDescribe.surfStable,15,2
java,js-lib-com/commons,Strings.split,20,5
java,igniterealtime/Smack,JingleSessionRequest.accept,12,1
java,apptentive/apptentive-android,ApptentiveNestedScrollView.scrollToChild,9,2
java,SonarSource/sonarqube,MoreCollectors.toArrayList,3,2
java,webmetrics/browsermob-proxy,LineInput.fillLine,107,35
java,yan74/afplib,BFMImpl.eSet,14,4
java,OpenLiberty/open-liberty,GenericConnection.setClientInfo,6,3
java,ptgoetz/storm-jms,JmsSpout.open,39,8
java,alkacon/opencms-core,CmsPatternPanelWeeklyController.setWeekDays,12,3
java,cycorp/api-suite,QueryException.fromThrowable,5,3
java,jingwei/krati,ArrayEntryManager.filterEntryList,9,4
java,ppiastucki/recast4j,RecastMesh.diagonal,3,2
java,OpenHFT/Chronicle-Network,VerySimpleClient.main,28,7
java,moparisthebest/beehive,HtmlGroupBaseTag.setOptionsDataSource,10,2
java,haraldk/TwelveMonkeys,ObjectReader.getStats,12,1
java,pravega/pravega,SegmentMetadataUpdateTransaction.acceptOperation,5,1
java,OpenLiberty/open-liberty,PersistenceType.getPersistenceType,4,3
java,liferay/com-liferay-commerce,CommerceTierPriceEntryLocalServiceWrapper.getCommerceTierPriceEntryByUuidAndGroupId,7,1
java,cvut/JCOP,JFreeChartRender.setStyle,23,3
java,alkacon/opencms-core,CmsResourceManager.addHtmlConverter,32,10
java,googleapis/google-cloud-java,FindingSnippets.groupActiveFindingsWithSource,23,3
java,HeidelTime/heideltime,StringUtils.endsWithPunc,8,11
java,hdecarne/java-default,Strings.decode,5,1
java,kuali/kc-s2sgen,RRFedNonFedBudget10V1_1Generator.setCumulativeOtherDirect,132,31
java,OpenLiberty/open-liberty,ConsumerSessionProxy.activateAsynchConsumer,13,5
java,raphw/byte-buddy,ExceptionTableSensitiveMethodVisitor.onVisitMethodInsn,3,1
java,dkmfbk/knowledgestore,Representation.getReader,8,2
java,groupon/monsoon,Histogram.compareTo,16,9
java,molgenis/molgenis,LocalizationMessageSource.resolveCode,8,2
java,yegor256/takes,RqAuth.identity,13,2
java,VoltDB/voltdb,ShortCountsHistogram.decodeFromCompressedByteBuffer,4,1
java,classgraph/classgraph,FieldInfo.setScanResult,15,5
java,knowm/XChart,BubbleChart.addSeries,11,4
java,mnlipp/jgrapes,EventBase.generatedBy,6,3
java,netscaler/sdx_nitro,mail_profile.validate,23,1
java,logic-ng/LogicNG,MaxSATSolver.linearSU,3,1
java,agmip/translator-dssat,DssatBatchFileOutput.writeFile,57,7
java,meltmedia/cadmium,LogUtils.configureLogback,28,4
java,pip-services3-java/pip-services3-commons-java,DependencyResolver.getOneOptional,4,2
java,j-a-w-r/jawr,ClassLoaderResourceUtils.getClass,37,9
java,apache/fluo,Span.prefix,5,1
java,OpenLiberty/open-liberty,JaxWsDDHelper.getWebserviceDescriptionByEJBLink,3,1
java,Mozu/mozu-java,PublicTokenUrl.executeUrl,7,2
java,michael-rapp/AndroidUtil,ElevationShadowView.obtainEmulateParallelLight,6,1
java,Graylog2/graylog2-server,IndexFieldTypePollerPeriodical.handleIndexDeletion,7,2
java,Red5/red5-io,FLVWriter.writeHeader,19,3
java,RogerParkinson/madura-objects-parent,Parser.any,24,9
java,ManfredTremmel/gwt-commons-lang3,StringUtils.substringsBetween,30,9
java,alipay/sofa-rpc,SofaRpcSerialization.getTargetServiceName,7,2
java,camunda/camunda-bpm-platform,ProcessDefinitionResourceImpl.getMediaTypeForFileSuffix,18,12
java,meertensinstituut/mtas,MtasSolrResultMerge.adjustablePartsCloned,21,8
java,apache/spark,ThriftCLIService.getUserName,24,5
java,stratosphere/stratosphere,CheckedMemorySegment.put,8,5
java,querydsl/querydsl,BeanPath.createComparable,4,2
java,micronaut-projects/micronaut-core,ResourceLocator.setSearchLocations,6,2
java,Grasia/phatsim,GrammarFacilitator.createFile,19,4
java,threerings/nenya,KeyboardManager.keyPressed,20,5
java,netscaler/nitro,nsweblogparam.update,7,1
java,facebookarchive/hadoop-20,BlockPlacementPolicyConfigurable.findBestWithoutFirst,33,8
java,hazelcast/hazelcast,PartitionReplicaManager.checkAndGetPrimaryReplicaOwner,26,6
java,aws/aws-sdk-java,DeleteModelRequestMarshaller.marshall,10,3
java,aws/aws-sdk-java,RelationalDatabaseEventMarshaller.marshall,13,3
java,mapbox/mapbox-java,PointDeserializer.deserialize,13,2
java,census-instrumentation/opencensus-java,BasicOperationsBenchmark.decodeSpanBinary,6,1
java,Jasig/uPortal,TenantService.validateAttribute,6,3
java,OpenLiberty/open-liberty,WSRdbManagedConnectionImpl.setKerberosConnection,5,3
java,igniterealtime/Smack,IQ.createErrorResponse,3,1
java,UrielCh/ovh-java-sdk,ApiOvhHostingprivateDatabase.serviceName_user_userName_grant_databaseName_GET,6,1
java,yan74/afplib,MeasurementUnitsImpl.setXoaBase,6,2
java,camunda/camunda-bpm-platform,BpmnParse.parseImports,12,3
java,jhalterman/lyra,Connections.create,11,1
java,alkacon/opencms-core,CmsUserInfoDialog.getStatusForItem,6,2
java,carewebframework/carewebframework-core,LayoutParser.parseAction,3,1
java,hawkular/hawkular-alerts,PluginMessageDescription.availability,23,6
java,calrissian/mango,CloseableIterables.chain,16,5
java,OpenBEL/openbel-framework,LockAdviser.obtainReadLock,8,3
java,aws/aws-sdk-java,SetPlatformApplicationAttributesRequest.withAttributes,4,1
java,google/j2objc,AlgorithmParameters.getInstance,12,2
java,VoltDB/voltdb,DRLogSegmentId.isInitialAckDRId,8,5
java,JM-Lab/utils-elasticsearch,JMElasticsearchSearchAndCount.countQuery,6,1
java,yegor256/takes,RsReturn.validLocation,11,2
java,goldmansachs/gs-collections,StringIterate.detectChar,13,3
java,GCRC/nunaliit,Searches.getAudioMediaFromPlaceId,18,2
java,alkacon/opencms-core,CmsFrameset.getViewSelect,31,7
java,google/error-prone-javac,TreeInfo.isSelfCall,9,3
java,google/j2objc,BasicChecker.verifyTimestamp,18,5
java,duracloud/duracloud,S3StorageProvider.createHiddenSpace,20,2
java,lessthanoptimal/ejml,PolynomialFit.removeWorstFit,25,6
java,liyiorg/weixin-popular,BizwifiAPI.barSet,3,1
java,classgraph/classgraph,JSONUtils.isBasicValueType,12,19
java,mikepenz/FastAdapter,AbstractItem.bindView,6,1
java,lucee/Lucee,Schedule.setInterval,9,9
java,JOML-CI/JOML,Matrix4x3d.identity,18,2
java,OpenLiberty/open-liberty,JSMessageData.isEmpty,10,5
java,Impetus/Kundera,CouchbaseBucketUtils.openBucket,26,5
java,hazelcast/hazelcast,ClusterJoinManager.executeJoinRequest,17,4
java,googleads/googleads-java-lib,AddResponsiveDisplayAd.runExample,70,3
java,OpenLiberty/open-liberty,GBSInsertFringe.balance12,107,7
java,BlueBrain/bluima,DictTerm.setEnclosingSpan,4,3
java,hankcs/HanLP,CommonAhoCorasickSegmentUtil.segment,36,7
java,javamonkey/beetl2.0,ObjectUtil.getGetMethod,18,3
java,codeprimate-software/cp-elements,CollectionExtensions.from,5,1
java,demidenko05/beigesoft-accounting,FctBnAccEntitiesProcessors.createPutPrcPurchaseInvoiceServiceLineDelete,19,1
java,h2oai/h2o-2,GenUtils.concat,11,3
java,randomizedtesting/randomizedtesting,JUnit4.setPrefix,7,2
java,BorderTech/wcomponents,WAudio.getAudio,4,2
java,Azure/azure-sdk-for-java,ManagedDatabaseVulnerabilityAssessmentRuleBaselinesInner.get,3,1
java,reinert/requestor,WebTarget.path,6,2
java,aws/aws-sdk-java,AmazonElasticMapReduceClient.listBootstrapActions,5,1
java,hazelcast/hazelcast,Config.setQuorumConfigs,8,2
java,medallia/Word2VecJava,Common.readToList,9,2
java,selendroid/selendroid,SelendroidServerBuilder.getJarVersionNumber,24,6
java,lievendoclo/Valkyrie-RCP,SimpleGroupMember.findMenu,13,5
java,samtingleff/jchronic,Chronic.parse,50,12
java,att/AAF,Symm.depass,42,7
java,aol/cyclops,Memoize.memoizeFunction,5,2
java,pgjdbc/pgjdbc,EscapedFunctions2.sqllcase,3,2
java,forge/core,MavenJDOMWriter.findAndReplaceXpp3DOM,10,4
java,phax/ph-commons,LogHelper.log,11,2
java,OpenLiberty/open-liberty,MessageStoreImpl.listPreparedTransactions,28,10
java,jruby/yecht,Resolver.node_import,77,17
java,VoltDB/voltdb,QueryExpression.setTableColumnNames,7,2
java,aws/aws-sdk-java,ListAliasesRequestMarshaller.marshall,13,3
java,ysc/QuestionAnsweringSystem,Tools.sortByIntegerValue,10,1
java,netscaler/nitro,responderpolicy.add,11,1
java,Impetus/Kundera,CouchDBObjectMapper.onEmbeddable,8,1
java,zeromq/jeromq,ZMonitor.verbose,11,3
java,iig-uni-freiburg/SEWOL,ConstraintContextProperties.getNextConstraintIndex,8,2
java,drewwills/cernunnos,ServletRequestHeaderPhrase.evaluate,5,1
java,ihaolin/session,WebUtil.getUserAgent,7,2
java,PeterisP/LVTagger,ChunkAnnotationUtils.fixChunkSentenceBoundaries,4,1
java,javagl/CommonUI,JTables.scrollToRow,9,1
java,twilio/authy-java,AuthyUtil.validateSignature,20,6
java,arquillian/arquillian-extension-persistence,DataSetProvider.inferFormat,7,2
java,tobato/FastDFS_Client,DefaultFastFileStorageClient.generateThumbImageByDefault,12,1
java,fuinorg/units4j,Units4JUtils.assertCauseMessage,4,1
java,JetBrains/xodus,VirtualFileSystem.writeFile,3,1
java,jenetics/jenetics,TruncationSelector.select,31,7
java,tango-controls/JTango,Util.fill_attr_polling_buffer,129,26
java,camunda/camunda-bpm-platform,ExecutionImpl.generateActivityInstanceId,9,2
java,Alluxio/alluxio,FileSystemAdminShellUtils.checkMasterClientService,13,2
java,Azure/azure-sdk-for-java,DeploymentsInner.validateAsync,3,1
java,aws/aws-sdk-java,ListedServerMarshaller.marshall,16,3
java,spring-projects/spring-hateoas,Links.and,4,1
java,Azure/azure-sdk-for-java,WorkflowsInner.updateAsync,3,1
java,alkacon/opencms-core,CmsStringUtil.splitAsArray,4,1
java,alkacon/opencms-core,A_CmsJspValueWrapper.getToBoolean,6,2
java,csc19601128/Phynixx,PhynixxXAResourceFactory.close,17,3
java,VoltDB/voltdb,AbstractExpression.containsFunctionById,13,4
java,korpling/ANNIS,CorefVisualizer.getAllTokens,88,27
java,vladmihalcea/flexy-pool,ConnectionDecoratorFactory.proxyConnection,4,1
java,Samsung/GearVRf,GVRRigidBody.applyCentralImpulse,8,1
java,j-a-w-r/jawr-main-repo,JawrRequestHandler.getRequestPath,10,2
java,aws/aws-sdk-java,DescribeApplicationsResult.getApplications,6,2
java,pravega/pravega,PravegaTablesStoreHelper.addNewEntryIfAbsent,4,2
java,Azure/azure-sdk-for-java,ManagementLocksInner.createOrUpdateAtResourceLevelAsync,3,1
java,alkacon/opencms-core,CmsSimpleEditor.actionExit,11,3
java,spring-projects/spring-android,HierarchicalUriComponents.normalize,7,1
java,googleads/googleads-java-lib,UploadConversionAdjustment.runExample,36,3
java,sarl/sarl,Boot.setPropertiesFrom,6,1
java,Netflix/spectator,IpcLogEntry.markStart,10,2
java,eserating/siren4j,BaseBuilder.addStep,6,3
java,Waikato/moa,GUIDefaults.getTabs,8,1
java,mongodb/stitch-android-sdk,CoreRemoteMongoCollectionImpl.watch,10,1
java,google/error-prone-javac,EnumConstantWriterImpl.getNavSummaryLink,15,3
java,juebanlin/util4j,ArrayBytesBuff.checkReadableBytesUnsafe,7,2
java,elki-project/elki,SplitHistory.getCommonDimensions,9,2
java,sarl/sarl,FileSystemAddons.convertFileToURL,32,9
java,googleapis/google-cloud-java,ConfigClient.createSink,8,2
java,sirthias/parboiled,Base64.encodeToByte,39,13
java,qiujuer/OkHttpPacker,HttpCore.interceptToProgressResponse,12,1
java,drtrang/spring-boot-autoconfigure,SqlMapper.selectList,5,3
java,groovy/groovy-core,DefaultGroovyMethods.findResults,10,3
java,wcm-io/wcm-io-handler,SimpleImageMediaMarkupBuilder.getMediaElement,9,4
java,cdk/cdk,StandardAtomGenerator.positionSubscript,7,1
java,forge/javaee-descriptors,EntityListenersImpl.getOrCreateEntityListener,9,3
java,spotbugs/spotbugs,BugInstance.addReferencedField,6,1
java,xetorthio/jedis,BinaryJedis.setex,6,1
java,aws/aws-sdk-java,BudgetPerformanceHistory.withBudgetedAndActualAmountsList,9,3
java,mirage-sql/mirage,SqlManagerImpl.updateBatch,4,1
java,allure-framework/allure1,Allure.fire,10,2
java,googleapis/google-cloud-java,KeyManagementServiceClient.listCryptoKeys,4,1
java,OpenLiberty/open-liberty,StartupServletContextListener.setFacesInitializer,12,6
java,biojava/biojava,MultipleSequenceAlignment.addAlignedSequence,10,3
java,Waikato/moa,OnlineAccuracyUpdatedEnsemble.addToStored,17,3
java,UrielCh/ovh-java-sdk,ApiOvhSupport.tickets_create_POST,14,1
java,neoremind/navi,IPUtils.getServerId,14,3
java,aws/aws-sdk-java,AmazonS3Client.requestConfigWithSkipAppendUriPath,5,1
java,baratine/baratine,WebSocketApply.service,30,5
java,opensourceBIM/BIMserver,Ifc2x3tc1PackageImpl.getIfcPowerMeasure,7,2
java,bignerdranch/expandable-recycler-view,ParentViewHolder.collapseView,8,2
java,apache/incubator-gobblin,Fork.getFinalState,15,5
java,Samsung/GearVRf,GVRAssetLoader.loadModel,29,4
java,fhoeben/hsac-fitnesse-fixtures,LocalDriverFactory.getFirefoxProfile,19,8
java,aws/aws-sdk-java,PutConfigurationRecorderRequestMarshaller.marshall,10,3
java,dkpro/dkpro-jwpl,Wikipedia.getCategory,12,3
java,HeidelTime/heideltime,StringUtils.findLastNotOf,7,4
java,OpenLiberty/open-liberty,JPAJndiLookupObjectFactory.getObjectInstance,65,23
java,attribyte/wpdb,DB.selectMaxPostId,13,2
java,UrielCh/ovh-java-sdk,ApiOvhOrder.license_cpanel_new_duration_GET,9,1
