function_count,parameter_count,variable_count,declaration_count,if_count,for_count,while_count,switch_count,return_count,call_count,argument_count,assignment_count,binary_expression_count,identifier_count,block_count,expression_count,literal_count,ast_nodes,leaf_nodes,internal_nodes,max_depth,leaf_ratio,internal_ratio,branch_density,call_density,identifier_density,expression_density,variable_density,statement_density,nesting_factor,cyclomatic_estimate,avg_parameters,language,repository,function
1,1,0,0,0,0,0,0,1,3,3,0,0,15,3,2,0,72,48,24,10,0.6666666666666666,0.3333333333333333,0.0,0.041666666666666664,0.20833333333333334,0.027777777777777776,0.0,0.027777777777777776,0.1388888888888889,1,1.0,java,OpenLiberty/open-liberty,HttpMessageContextImpl.redirect
1,2,0,0,0,0,0,0,1,1,1,0,0,7,1,0,0,37,25,12,6,0.6756756756756757,0.32432432432432434,0.0,0.02702702702702703,0.1891891891891892,0.0,0.0,0.0,0.16216216216216217,1,2.0,java,jOOQ/jOOR,Reflect.on
1,1,4,2,7,1,0,0,0,17,19,0,7,51,5,5,8,312,218,94,15,0.6987179487179487,0.30128205128205127,0.02564102564102564,0.05448717948717949,0.16346153846153846,0.016025641025641024,0.01282051282051282,0.016025641025641024,0.04807692307692308,9,1.0,java,OpenLiberty/open-liberty,JsApiHdrsImpl.setReverseRoutingPath
1,1,4,2,2,0,0,0,2,5,6,0,3,21,3,1,4,148,98,50,12,0.6621621621621622,0.33783783783783783,0.013513513513513514,0.033783783783783786,0.14189189189189189,0.006756756756756757,0.02702702702702703,0.006756756756756757,0.08108108108108109,3,1.0,java,Dempsy/dempsy,MessageProcessor.invokeOutput
1,0,32,16,40,0,0,4,11,71,72,20,31,254,59,52,78,1680,1142,538,28,0.6797619047619048,0.3202380952380952,0.023809523809523808,0.042261904761904764,0.15119047619047618,0.030952380952380953,0.01904761904761905,0.030952380952380953,0.016666666666666666,41,0.0,java,eclipse/xtext-extras,InternalXbaseParser.ruleXImportDeclaration
1,1,2,1,1,0,0,0,1,23,24,0,0,45,2,9,3,246,164,82,15,0.6666666666666666,0.3333333333333333,0.0040650406504065045,0.09349593495934959,0.18292682926829268,0.036585365853658534,0.008130081300813009,0.036585365853658534,0.06097560975609756,2,1.0,java,alkacon/opencms-core,CmsRebuildSearchIndexDialog.createDialogHtml
1,1,18,9,4,0,1,0,2,19,25,1,6,65,10,3,6,407,280,127,18,0.687960687960688,0.31203931203931207,0.012285012285012284,0.04668304668304668,0.1597051597051597,0.007371007371007371,0.044226044226044224,0.007371007371007371,0.044226044226044224,6,1.0,java,fabric8io/docker-maven-plugin,ImageArchiveUtil.readManifest
1,2,0,0,0,0,0,0,0,2,2,0,0,8,1,1,0,38,26,12,7,0.6842105263157895,0.3157894736842105,0.0,0.05263157894736842,0.21052631578947367,0.02631578947368421,0.0,0.02631578947368421,0.18421052631578946,1,2.0,java,OpenLiberty/open-liberty,ServiceProviderFinderFactory.setServiceProviderFinder
1,3,2,1,0,0,0,1,3,4,4,1,2,27,1,3,5,137,97,40,12,0.708029197080292,0.291970802919708,0.0,0.029197080291970802,0.19708029197080293,0.021897810218978103,0.014598540145985401,0.021897810218978103,0.08759124087591241,1,3.0,java,h2oai/h2o-3,RequestServer.maybeLogRequest
1,0,6,3,1,0,0,0,1,5,6,1,2,23,4,1,6,164,111,53,14,0.676829268292683,0.3231707317073171,0.006097560975609756,0.03048780487804878,0.1402439024390244,0.006097560975609756,0.036585365853658534,0.006097560975609756,0.08536585365853659,2,0.0,java,aws/aws-sdk-java,ObjectMetadata.getContentRange
1,0,2,1,2,0,0,0,1,9,9,0,2,22,1,2,2,115,79,36,9,0.6869565217391305,0.3130434782608696,0.017391304347826087,0.0782608695652174,0.19130434782608696,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.0782608695652174,3,0.0,java,OpenLiberty/open-liberty,RemoteMessageRequest.getRemoteEngineUuid
1,1,4,2,1,0,0,0,1,4,4,0,1,15,2,2,3,90,60,30,8,0.6666666666666666,0.3333333333333333,0.011111111111111112,0.044444444444444446,0.16666666666666666,0.022222222222222223,0.044444444444444446,0.022222222222222223,0.08888888888888889,2,1.0,java,threerings/narya,ObjectOutputStream.writeObject
1,4,10,5,3,0,0,0,4,10,10,0,10,39,4,2,14,253,172,81,15,0.6798418972332015,0.3201581027667984,0.011857707509881422,0.039525691699604744,0.1541501976284585,0.007905138339920948,0.039525691699604744,0.007905138339920948,0.05928853754940711,4,4.0,java,dropbox/dropbox-sdk-java,DropboxBrowse.slurpUtf8Part
1,5,18,9,11,3,0,0,2,26,28,4,22,125,16,11,26,753,532,221,18,0.7065073041168659,0.29349269588313415,0.01859229747675963,0.034528552456839307,0.16600265604249667,0.014608233731739707,0.02390438247011952,0.014608233731739707,0.02390438247011952,15,5.0,java,OpenLiberty/open-liberty,MethodAttribUtils.getXMLAsynchronousMethods
1,1,0,0,2,0,0,0,0,1,1,1,2,9,3,2,1,57,37,20,10,0.6491228070175439,0.3508771929824561,0.03508771929824561,0.017543859649122806,0.15789473684210525,0.03508771929824561,0.0,0.03508771929824561,0.17543859649122806,3,1.0,java,Samsung/GearVRf,OrientedLayout.setOrientation
1,0,0,0,2,0,0,0,0,2,4,1,2,7,3,2,4,87,58,29,9,0.6666666666666666,0.3333333333333333,0.022988505747126436,0.022988505747126436,0.08045977011494253,0.022988505747126436,0.0,0.022988505747126436,0.10344827586206896,3,0.0,java,asterisk-java/asterisk-java,AgiServerThread.startup
1,4,4,2,2,0,0,0,1,3,8,0,7,24,3,1,8,201,139,62,10,0.6915422885572139,0.30845771144278605,0.009950248756218905,0.014925373134328358,0.11940298507462686,0.004975124378109453,0.01990049751243781,0.004975124378109453,0.04975124378109453,3,4.0,java,amzn/ion-java,SharedSymbolTable.newSharedSymbolTable
1,2,2,1,1,1,0,0,2,0,0,0,2,12,3,0,2,79,51,28,9,0.6455696202531646,0.35443037974683544,0.02531645569620253,0.0,0.1518987341772152,0.0,0.02531645569620253,0.0,0.11392405063291139,3,2.0,java,elki-project/elki,NearestNeighborAffinityMatrixBuilder.containsIndex
1,1,2,1,1,0,0,0,2,7,7,0,1,15,2,0,1,90,58,32,10,0.6444444444444445,0.35555555555555557,0.011111111111111112,0.07777777777777778,0.16666666666666666,0.0,0.022222222222222223,0.0,0.1111111111111111,2,1.0,java,eclipse/xtext-extras,StandardTypeReferenceOwner.newReferenceTo
1,2,0,0,0,0,0,0,1,4,4,0,0,11,1,0,0,64,40,24,11,0.625,0.375,0.0,0.0625,0.171875,0.0,0.0,0.0,0.171875,1,2.0,java,jMotif/SAX,EuclideanDistance.distance
1,2,18,9,6,1,0,0,2,12,14,5,14,74,9,9,17,413,284,129,17,0.6876513317191283,0.31234866828087166,0.01694915254237288,0.029055690072639227,0.1791767554479419,0.021791767554479417,0.043583535108958835,0.021791767554479417,0.04116222760290557,8,2.0,java,headius/invokebinder,Signature.collect
1,2,2,1,0,0,0,0,0,6,6,0,1,16,1,2,8,112,78,34,13,0.6964285714285714,0.30357142857142855,0.0,0.05357142857142857,0.14285714285714285,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.11607142857142858,1,2.0,java,facebookarchive/hadoop-20,FairSchedulerServlet.showAdminFormPreemption
1,1,0,0,0,0,0,0,2,3,3,0,0,12,3,2,3,78,51,27,10,0.6538461538461539,0.34615384615384615,0.0,0.038461538461538464,0.15384615384615385,0.02564102564102564,0.0,0.02564102564102564,0.1282051282051282,1,1.0,java,Red5/red5-io,FLVWriter.writeStream
1,3,0,0,0,0,0,0,0,6,6,0,0,18,1,3,2,77,54,23,8,0.7012987012987013,0.2987012987012987,0.0,0.07792207792207792,0.23376623376623376,0.03896103896103896,0.0,0.03896103896103896,0.1038961038961039,1,3.0,java,pravega/pravega,TransactionMetrics.createTransaction
1,1,2,1,2,0,0,0,2,2,2,1,3,14,4,1,4,90,62,28,9,0.6888888888888889,0.3111111111111111,0.022222222222222223,0.022222222222222223,0.15555555555555556,0.011111111111111112,0.022222222222222223,0.011111111111111112,0.1,3,1.0,java,stagemonitor/stagemonitor,ConfigurationRegistry.getString
1,4,0,0,1,0,0,0,1,5,5,1,0,23,2,3,0,110,76,34,11,0.6909090909090909,0.3090909090909091,0.00909090909090909,0.045454545454545456,0.20909090909090908,0.02727272727272727,0.0,0.02727272727272727,0.1,2,4.0,java,blinkfox/zealot,ZealotKhala.doIsNull
1,0,1,1,1,0,0,0,1,2,3,0,1,11,3,2,1,91,61,30,13,0.6703296703296703,0.32967032967032966,0.01098901098901099,0.02197802197802198,0.12087912087912088,0.02197802197802198,0.01098901098901099,0.02197802197802198,0.14285714285714285,2,0.0,java,aws/aws-sdk-java,DescribeTrustedAdvisorChecksResult.withChecks
1,0,16,8,0,0,0,0,0,16,16,0,9,40,1,4,7,219,140,79,12,0.639269406392694,0.3607305936073059,0.0,0.0730593607305936,0.182648401826484,0.0182648401826484,0.0730593607305936,0.0182648401826484,0.0547945205479452,1,0.0,java,HanSolo/Medusa,Gauge.calcAutoScale
1,3,18,9,0,2,0,0,1,3,5,1,15,41,3,1,8,229,151,78,12,0.6593886462882096,0.3406113537117904,0.008733624454148471,0.013100436681222707,0.17903930131004367,0.004366812227074236,0.07860262008733625,0.004366812227074236,0.05240174672489083,3,3.0,java,lessthanoptimal/BoofCV,CalibrationDetectorCircleHexagonalGrid.createLayout
1,0,0,0,0,0,0,0,0,3,3,3,0,12,1,3,2,56,37,19,8,0.6607142857142857,0.3392857142857143,0.0,0.05357142857142857,0.21428571428571427,0.05357142857142857,0.0,0.05357142857142857,0.14285714285714285,1,0.0,java,zaproxy/zaproxy,AlertParam.parse
1,1,12,6,14,1,0,0,0,32,32,3,8,107,23,14,17,642,451,191,21,0.7024922118380063,0.29750778816199375,0.02336448598130841,0.04984423676012461,0.16666666666666666,0.021806853582554516,0.018691588785046728,0.021806853582554516,0.03271028037383177,16,1.0,java,google/j2objc,DOM3TreeWalker.initProperties
1,1,0,0,0,0,0,0,1,1,1,0,0,7,1,0,0,47,31,16,7,0.6595744680851063,0.3404255319148936,0.0,0.02127659574468085,0.14893617021276595,0.0,0.0,0.0,0.14893617021276595,1,1.0,java,jOOQ/jOOL,Sneaky.binaryOperator
2,4,9,5,4,0,0,0,2,13,17,3,6,57,8,6,10,415,282,133,13,0.6795180722891566,0.3204819277108434,0.00963855421686747,0.03132530120481928,0.13734939759036144,0.014457831325301205,0.021686746987951807,0.014457831325301205,0.03132530120481928,5,2.0,java,OpenTSDB/opentsdb,Tree.storeTree
1,0,0,0,1,0,0,0,1,3,3,1,1,12,2,1,2,67,45,22,13,0.6716417910447762,0.3283582089552239,0.014925373134328358,0.04477611940298507,0.1791044776119403,0.014925373134328358,0.0,0.014925373134328358,0.19402985074626866,2,0.0,java,opensourceBIM/BIMserver,Ifc2x3tc1PackageImpl.getIfcElectricHeaterTypeEnum
1,2,0,0,1,0,0,0,2,5,5,0,1,19,2,0,0,80,55,25,9,0.6875,0.3125,0.0125,0.0625,0.2375,0.0,0.0,0.0,0.1125,2,2.0,java,recommenders/rival,DataModel.getUserItemPreference
1,1,4,2,3,0,0,0,4,6,6,0,4,22,3,0,5,148,100,48,13,0.6756756756756757,0.32432432432432434,0.02027027027027027,0.04054054054054054,0.14864864864864866,0.0,0.02702702702702703,0.0,0.08783783783783784,4,1.0,java,eclipse/xtext-extras,JvmTypeConstraintImplCustom.isLikelyAValidConstraintBound
1,1,10,5,0,1,0,0,1,5,6,3,1,32,2,4,1,143,96,47,10,0.6713286713286714,0.32867132867132864,0.006993006993006993,0.03496503496503497,0.22377622377622378,0.027972027972027972,0.06993006993006994,0.027972027972027972,0.06993006993006994,2,1.0,java,kaichunlin/android-transition,ViewTransitionBuilder.transitViewGroup
1,0,0,0,1,0,0,0,1,3,3,1,1,12,2,1,2,67,45,22,13,0.6716417910447762,0.3283582089552239,0.014925373134328358,0.04477611940298507,0.1791044776119403,0.014925373134328358,0.0,0.014925373134328358,0.19402985074626866,2,0.0,java,opensourceBIM/BIMserver,Ifc2x3tc1PackageImpl.getIfcAxis2Placement2D
1,2,0,0,0,0,0,0,1,0,1,0,0,5,1,0,0,60,39,21,7,0.65,0.35,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.11666666666666667,1,2.0,java,VoltDB/voltdb,Constraints.constrainedSet
1,0,26,13,4,0,0,0,0,37,53,2,4,109,8,20,4,597,415,182,12,0.695142378559464,0.304857621440536,0.006700167504187605,0.06197654941373534,0.18257956448911222,0.03350083752093802,0.04355108877721943,0.03350083752093802,0.020100502512562814,5,0.0,java,camunda/camunda-bpm-platform,ProcessEngineConfigurationImpl.initJobExecutor
1,1,0,0,0,0,0,1,2,4,4,0,0,14,1,3,0,81,51,30,10,0.6296296296296297,0.37037037037037035,0.0,0.04938271604938271,0.1728395061728395,0.037037037037037035,0.0,0.037037037037037035,0.12345679012345678,1,1.0,java,yan74/afplib,MGORGImpl.eUnset
1,0,0,0,1,0,0,0,1,0,1,1,1,6,2,1,1,60,40,20,10,0.6666666666666666,0.3333333333333333,0.016666666666666666,0.0,0.1,0.016666666666666666,0.0,0.016666666666666666,0.16666666666666666,2,0.0,java,eclipse/xtext-extras,JvmStringAnnotationValueImpl.getValues
1,1,2,1,0,0,0,0,0,1,1,1,0,8,2,2,0,45,29,16,7,0.6444444444444445,0.35555555555555557,0.0,0.022222222222222223,0.17777777777777778,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.15555555555555556,1,1.0,java,knightliao/disconf,ReloadablePropertiesBase.setProperties
2,2,4,2,1,0,0,0,3,10,13,0,1,29,5,0,3,272,180,92,20,0.6617647058823529,0.3382352941176471,0.003676470588235294,0.03676470588235294,0.10661764705882353,0.0,0.014705882352941176,0.0,0.07352941176470588,2,1.0,java,Azure/azure-sdk-for-java,WebSiteManagementClientImpl.listPremierAddOnOffersNextSinglePageAsync
1,1,0,0,0,0,0,0,0,11,11,0,0,33,1,10,0,126,86,40,9,0.6825396825396826,0.31746031746031744,0.0,0.0873015873015873,0.2619047619047619,0.07936507936507936,0.0,0.07936507936507936,0.07142857142857142,1,1.0,java,apache/incubator-druid,FixedBucketsHistogram.writeByteBufferCommonFields
1,1,0,0,0,0,0,0,1,1,1,0,0,6,1,0,0,52,33,19,7,0.6346153846153846,0.36538461538461536,0.0,0.019230769230769232,0.11538461538461539,0.0,0.0,0.0,0.1346153846153846,1,1.0,java,op4j/op4j,Op.on
1,3,12,6,0,0,0,0,1,10,10,0,7,46,1,2,4,208,141,67,10,0.6778846153846154,0.32211538461538464,0.0,0.04807692307692308,0.22115384615384615,0.009615384615384616,0.057692307692307696,0.009615384615384616,0.04807692307692308,1,3.0,java,katjahahn/PortEx,PELoader.reloadCOFFFileHeader
1,1,4,2,2,0,0,0,0,1,1,6,4,28,4,8,5,150,100,50,11,0.6666666666666666,0.3333333333333333,0.013333333333333334,0.006666666666666667,0.18666666666666668,0.05333333333333334,0.02666666666666667,0.05333333333333334,0.07333333333333333,3,1.0,java,google/j2objc,NodeVector.push
4,5,14,7,3,0,0,0,3,25,28,1,4,87,8,7,4,479,330,149,17,0.6889352818371608,0.31106471816283926,0.006263048016701462,0.05219206680584551,0.18162839248434237,0.014613778705636743,0.029227557411273485,0.014613778705636743,0.03549060542797495,4,1.25,java,jenkinsci/jenkins,ItemListener.fireLocationChange
1,0,4,2,2,0,0,0,1,7,9,0,1,17,3,2,3,123,82,41,9,0.6666666666666666,0.3333333333333333,0.016260162601626018,0.056910569105691054,0.13821138211382114,0.016260162601626018,0.032520325203252036,0.016260162601626018,0.07317073170731707,3,0.0,java,tvesalainen/util,SimpleWorkflow.join
1,2,0,0,0,0,0,0,0,4,4,0,0,12,1,4,1,74,50,24,8,0.6756756756756757,0.32432432432432434,0.0,0.05405405405405406,0.16216216216216217,0.05405405405405406,0.0,0.05405405405405406,0.10810810810810811,1,2.0,java,jnr/jnr-x86asm,TrampolineWriter.writeTrampoline
1,1,6,3,8,0,0,0,0,7,7,16,28,63,10,16,11,491,327,164,16,0.6659877800407332,0.3340122199592668,0.016293279022403257,0.014256619144602852,0.12830957230142567,0.032586558044806514,0.012219959266802444,0.032586558044806514,0.032586558044806514,9,1.0,java,stephanrauh/AngularFaces,NGBeanAttributeInfo.readJSR303Annotations
1,1,0,0,2,0,0,0,1,5,5,0,2,15,3,3,2,85,57,28,8,0.6705882352941176,0.32941176470588235,0.023529411764705882,0.058823529411764705,0.17647058823529413,0.03529411764705882,0.0,0.03529411764705882,0.09411764705882353,3,1.0,java,rapidoid/rapidoid,Form.add
1,4,12,6,5,0,0,0,2,13,15,3,5,60,8,6,5,324,224,100,14,0.691358024691358,0.30864197530864196,0.015432098765432098,0.040123456790123455,0.18518518518518517,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.043209876543209874,6,4.0,java,google/closure-compiler,PolymerPassStaticUtils.extractProperties
1,3,18,9,5,1,0,0,2,2,2,5,17,57,9,6,13,355,235,120,14,0.6619718309859155,0.3380281690140845,0.016901408450704224,0.005633802816901409,0.16056338028169015,0.016901408450704224,0.05070422535211268,0.016901408450704224,0.03943661971830986,7,3.0,java,TheHortonMachine/hortonmachine,UCSReader.readUCS2
1,2,4,2,2,0,0,0,4,9,9,0,4,36,6,1,5,187,131,56,12,0.7005347593582888,0.2994652406417112,0.0106951871657754,0.0481283422459893,0.1925133689839572,0.0053475935828877,0.0213903743315508,0.0053475935828877,0.06417112299465241,3,2.0,java,alkacon/opencms-core,CmsElementView.hasPermission
2,1,4,2,0,0,0,0,0,9,11,0,0,23,2,5,1,129,87,42,13,0.6744186046511628,0.32558139534883723,0.0,0.06976744186046512,0.17829457364341086,0.03875968992248062,0.031007751937984496,0.03875968992248062,0.10077519379844961,1,0.5,java,facebookarchive/hadoop-20,ServerView.createContextMenu
1,3,6,3,0,0,0,0,1,1,1,0,4,25,1,1,1,116,75,41,9,0.646551724137931,0.35344827586206895,0.0,0.008620689655172414,0.21551724137931033,0.008620689655172414,0.05172413793103448,0.008620689655172414,0.07758620689655173,1,3.0,java,MariaDB/mariadb-connector-j,Utils.copyRange
1,2,0,0,1,0,0,0,0,7,9,0,2,23,4,3,3,138,95,43,12,0.6884057971014492,0.3115942028985507,0.007246376811594203,0.050724637681159424,0.16666666666666666,0.021739130434782608,0.0,0.021739130434782608,0.08695652173913043,2,2.0,java,aws/aws-sdk-java,PutBackupVaultNotificationsRequestMarshaller.marshall
1,0,2,1,0,0,0,0,1,7,8,0,0,19,2,1,0,114,80,34,13,0.7017543859649122,0.2982456140350877,0.0,0.06140350877192982,0.16666666666666666,0.008771929824561403,0.017543859649122806,0.008771929824561403,0.11403508771929824,1,0.0,java,alkacon/opencms-core,CmsMessageBundleEditorModel.getKeyItemMap
1,1,8,4,1,1,0,0,1,7,8,0,3,30,4,3,3,160,108,52,12,0.675,0.325,0.0125,0.04375,0.1875,0.01875,0.05,0.01875,0.075,3,1.0,java,strator-dev/greenpepper,NameUtils.humanize
1,2,2,1,1,0,0,0,2,7,7,0,0,16,3,0,2,96,66,30,11,0.6875,0.3125,0.010416666666666666,0.07291666666666667,0.16666666666666666,0.0,0.020833333333333332,0.0,0.11458333333333333,2,2.0,java,alkacon/opencms-core,CmsContainerpageService.isModelPage
1,1,10,5,0,0,0,0,0,19,21,0,0,47,3,7,3,232,159,73,12,0.6853448275862069,0.3146551724137931,0.0,0.08189655172413793,0.2025862068965517,0.03017241379310345,0.04310344827586207,0.03017241379310345,0.05172413793103448,1,1.0,java,jbake-org/jbake,BakeWatcher.start
1,1,0,0,0,0,0,0,0,3,3,0,1,10,1,3,1,53,36,17,7,0.6792452830188679,0.32075471698113206,0.0,0.05660377358490566,0.18867924528301888,0.05660377358490566,0.0,0.05660377358490566,0.1320754716981132,1,1.0,java,google/closure-compiler,JSModule.addDependency
2,11,37,19,2,2,0,0,1,19,30,1,6,136,11,2,7,733,511,222,20,0.6971350613915416,0.30286493860845837,0.005457025920873124,0.02592087312414734,0.1855388813096862,0.002728512960436562,0.0504774897680764,0.002728512960436562,0.027285129604365622,5,5.5,java,finmath/finmath-lib,ModelFactory.getHybridAssetLIBORModel
1,1,1,1,0,0,0,0,1,1,1,0,0,6,1,0,1,35,24,11,6,0.6857142857142857,0.3142857142857143,0.0,0.02857142857142857,0.17142857142857143,0.0,0.02857142857142857,0.0,0.17142857142857143,1,1.0,java,codeprimate-software/cp-elements,ElementsExceptionsFactory.newServiceInvocationException
1,3,0,0,0,0,0,0,1,2,2,0,0,10,1,0,0,46,32,14,7,0.6956521739130435,0.30434782608695654,0.0,0.043478260869565216,0.21739130434782608,0.0,0.0,0.0,0.15217391304347827,1,3.0,java,avianey/facebook-api-android-maven,Request.executeGraphPathRequestAsync
1,0,2,1,2,0,0,0,0,3,5,0,1,11,6,1,1,108,72,36,13,0.6666666666666666,0.3333333333333333,0.018518518518518517,0.027777777777777776,0.10185185185185185,0.009259259259259259,0.018518518518518517,0.009259259259259259,0.12037037037037036,3,0.0,java,Bandwidth/java-bandwidth,BandwidthClient.validateCredentials
1,1,6,3,1,0,1,0,1,17,19,3,0,40,5,5,6,241,165,76,15,0.6846473029045643,0.3153526970954357,0.008298755186721992,0.07053941908713693,0.16597510373443983,0.02074688796680498,0.024896265560165973,0.02074688796680498,0.06224066390041494,3,1.0,java,Impetus/Kundera,ThriftClientFactory.getConnection
1,2,0,0,4,0,0,0,5,15,17,0,3,49,6,1,3,241,169,72,16,0.7012448132780082,0.2987551867219917,0.016597510373443983,0.06224066390041494,0.2033195020746888,0.004149377593360996,0.0,0.004149377593360996,0.06639004149377593,5,2.0,java,lucee/Lucee,Operator.compare
1,2,8,4,4,0,0,0,1,15,15,0,2,49,6,8,9,258,180,78,13,0.6976744186046512,0.3023255813953488,0.015503875968992248,0.05813953488372093,0.18992248062015504,0.031007751937984496,0.031007751937984496,0.031007751937984496,0.050387596899224806,5,2.0,java,ModeShape/modeshape,OracleDdlParser.parseCreateProcedureStatement
1,2,2,1,1,0,0,0,1,5,6,0,0,19,3,2,0,113,76,37,10,0.672566371681416,0.3274336283185841,0.008849557522123894,0.04424778761061947,0.168141592920354,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.08849557522123894,2,2.0,java,apache/incubator-shardingsphere,ExtractorUtils.getAllDescendantNodes
1,3,0,0,0,0,0,0,1,2,2,0,0,9,1,0,0,48,31,17,8,0.6458333333333334,0.3541666666666667,0.0,0.041666666666666664,0.1875,0.0,0.0,0.0,0.16666666666666666,1,3.0,java,derari/cthul,Boxing.boxLongs
1,1,0,0,0,0,0,0,1,3,3,0,0,9,1,1,2,51,37,14,8,0.7254901960784313,0.27450980392156865,0.0,0.058823529411764705,0.17647058823529413,0.0196078431372549,0.0,0.0196078431372549,0.1568627450980392,1,1.0,java,spring-projects/spring-shell,TableBuilder.addInnerBorder
